prix_ttc_eur,energie,boite_de_vitesses,couleur,type_vehicule,provenance,premiere_main,kilometrage,puissance_fiscale,puissance_reelle,portes,places,longueur,largeur,hauteur,poids,volume_coffre,air_quality_icon,ville,age_ans,marque,modele
36280,electrique,automatique,blanc,suv,particulier,oui,23700.0,7.0,210.0,5,5,4.542,1.895,1.641,2108.0,520.0,crit'air niveau 0,reims,1.4182067077344285,electrique,210ch
13825,diesel,manuelle,noir,berline,loueur,non,60271.0,5.0,102.0,5,5,3.996,1.749,1.474,1090.0,300.0,crit'air niveau 2,grenoble,3.430527036276523,1.5,bluehdi
16499,essence micro hybride,manuelle,gris,suv,particulier,non,37408.0,6.0,125.0,5,5,4.186,1.805,1.537,1205.0,456.0,,vitrolles,4.7967145790554415,1.0,ecoboost
15799,essence,manuelle,gris,berline,,non,22368.0,5.0,91.0,5,5,4.053,1.798,1.44,1028.0,391.0,crit'air niveau 1,saint-alban-leysse,2.209445585215606,1.0,tce
30999,electrique,automatique,noir,suv,loueur,non,23667.0,5.0,272.0,5,5,4.233,1.837,1.549,1785.0,318.0,crit'air niveau 0,chennevières sur marne,1.678302532511978,single,extended
17499,essence,manuelle,,berline,société,non,9418.0,5.0,91.0,5,5,4.053,1.798,1.44,1007.0,391.0,crit'air niveau 1,saint-victoret,0.9034907597535934,1.0,tce
27517,hybride rechargeable,automatique,gris,break,loueur,non,28999.0,8.0,150.0,5,5,4.636,1.86,1.442,1659.0,548.0,crit'air niveau 1,seynod,1.5989048596851472,phev,180ch
27987,hybride,automatique,rouge,break,importation,non,43703.0,5.0,98.0,5,5,4.65,1.79,1.435,1290.0,598.0,crit'air niveau 1,arnas,2.2861054072553046,1.8,140ch
29980,diesel,automatique,noir,suv,loueur,non,18708.0,7.0,131.0,5,5,4.5,1.969,1.689,1492.0,720.0,crit'air niveau 2,eybens,1.2566735112936345,1.5,bluehdi
14981,diesel,manuelle,noir,berline,loueur,non,45059.0,5.0,102.0,5,5,4.055,1.745,1.43,1090.0,265.0,crit'air niveau 2,grenoble,2.1683778234086244,1.5,bluehdi
37199,hybride rechargeable,automatique,noir,berline,loueur,non,28586.0,8.0,150.0,5,5,4.343,1.816,1.449,1560.0,280.0,crit'air niveau 1,champniers,1.2292950034223136,40,tfsi
14799,essence,manuelle,,berline,particulier,non,53791.0,7.0,140.0,5,5,4.359,1.814,1.447,,434.0,crit'air niveau 1,terville,6.844626967830253,1.3,tce
25699,hybride rechargeable,automatique,gris,suv,particulier,non,38996.0,9.0,200.0,5,5,4.447,1.841,1.624,1853.0,,crit'air niveau 1,bassussarry,3.8329911019849416,hybrid4,300ch
26980,hybride rechargeable,automatique,blanc,berline,loueur,non,42634.0,10.0,180.0,5,5,4.4,1.866,1.49,1653.0,390.0,crit'air niveau 1,bourg en bresse,2.3956194387405887,e-tense,225ch
15999,diesel,manuelle,nr,suv,particulier,non,91584.0,6.0,116.0,5,5,4.227,1.797,1.576,1303.0,520.0,crit'air niveau 2,sequedin,5.300479123887748,1.5,blue
19899,electrique,automatique,noir,berline,particulier,oui,29682.0,5.0,184.0,3,4,3.85,1.727,1.432,1365.0,211.0,crit'air niveau 0,seclin,3.1074606433949348,cooper,se
27499,essence,automatique,vert,suv,loueur,non,4605.0,8.0,150.0,5,5,4.266,1.757,1.518,1229.0,438.0,crit'air niveau 1,saint-martin-sur-le-pré,0.8350444900752909,1.5,tsi
25500,diesel,automatique,noir,berline,importation,non,88175.0,10.0,190.0,4,5,4.738,1.842,1.428,1490.0,480.0,crit'air niveau 2,vienne,5.297741273100616,40,tdi
22390,essence micro hybride,automatique,jaune,suv,,non,6000.0,5.0,101.0,5,5,3.999,1.763,1.585,1272.0,412.0,,la ravoire,0.15331964407939766,1.2,hybrid
13980,electrique,automatique,bleu,suv,loueur,non,99508.0,4.0,136.0,5,5,4.3,1.77,1.55,1548.0,405.0,crit'air niveau 0,bourg-en-bresse,4.167008898015058,e-2008,136ch
22499,essence,automatique,noir,suv,particulier,non,45000.0,7.0,131.0,5,5,4.447,1.841,1.624,1320.0,520.0,crit'air niveau 1,chambray-lès-tours,4.301163586584531,1.2,puretech
15299,essence,manuelle,gris,berline,loueur,non,19910.0,5.0,102.0,5,5,4.055,1.765,1.43,1090.0,352.0,crit'air niveau 1,pau,1.4182067077344285,1.2,puretech
42990,diesel,manuelle,blanc,utilitaire,société,oui,24018.0,7.0,163.0,4,2,5.37,1.928,1.912,1998.0,,crit'air niveau 2,thillois,0.4654346338124572,116,cdi
16999,essence,manuelle,gris,suv,particulier,non,49590.0,6.0,110.0,5,5,4.241,1.793,1.559,1162.0,400.0,crit'air niveau 1,vénissieux,4.084873374401095,1.0,tsi
27999,diesel,automatique,noir,monospace,loueur,non,81636.0,10.0,189.0,5,5,4.857,1.888,1.677,1785.0,680.0,crit'air niveau 2,magenta,3.8412046543463383,2.0,blue
10499,essence,manuelle,rouge,suv,particulier,non,69758.0,5.0,110.0,5,5,4.159,1.829,1.556,1090.0,350.0,crit'air niveau 1,saint-cyr-sur-loire,7.170431211498974,1.2,puretech
13999,diesel,manuelle,bleu,berline,particulier,non,99500.0,5.0,116.0,3,4,3.821,1.727,1.414,1135.0,211.0,crit'air niveau 2,wormhout,9.352498288843258,cooper,d
32999,diesel,automatique,gris,berline,particulier,non,46961.0,8.0,150.0,4,5,4.688,1.83,1.444,1485.0,450.0,crit'air niveau 2,saint-maximin,4.188911704312115,200,d
31989,hybride,automatique,bleu,suv,société,non,2280.0,6.0,109.0,5,5,4.57,1.812,1.662,1419.0,546.0,crit'air niveau 1,pontarlier,0.2929500342231348,1.8,hybrid
18799,diesel,automatique,,break,particulier,non,101667.0,7.0,131.0,5,5,4.636,1.852,1.442,1400.0,608.0,crit'air niveau 2,beauvais,3.3374401095140316,1.5,bluehdi
16799,hybride,automatique,gris,berline,loueur,non,60695.0,5.0,90.0,5,5,4.05,1.798,1.44,1163.0,300.0,crit'air niveau 1,carvin,3.134839151266256,1.6,e-tech
19790,diesel,manuelle,noir,,loueur,non,98372.0,6.0,115.0,5,5,4.341,1.804,,1400.0,,crit'air niveau 2,pontarlier,4.295687885010267,blue,dci
27999,diesel,automatique,blanc,berline,,non,43332.0,6.0,116.0,5,5,4.319,1.799,1.434,1385.0,380.0,crit'air niveau 2,mérignac,2.839151266255989,116da,116ch
59999,hybride rechargeable,automatique,blanc,suv,loueur,non,44591.0,19.0,404.0,5,5,4.747,2.071,1.664,2155.0,617.0,crit'air niveau 1,terville,2.0752908966461328,p400e,plug-in-hybrid
26499,essence,manuelle,gris,suv,particulier,non,30700.0,7.0,130.0,5,0,4.511,1.839,1.675,1437.0,977.0,crit'air niveau 1,rezé,3.8576317590691307,1.5,tsi
17280,hybride rechargeable,automatique,bleu,suv,particulier,non,63654.0,5.0,92.0,5,5,4.227,1.797,1.576,1564.0,379.0,crit'air niveau 1,besancon,4.514715947980835,1.6,e-tech
125656,hybride rechargeable,automatique,gris,suv,,non,9000.0,20.0,313.0,5,5,4.935,2.004,1.765,2420.0,500.0,crit'air niveau 1,nimes,0.35044490075290896,xdrive50e,489ch
11999,electrique,automatique,blanc,utilitaire,loueur,non,30717.0,4.0,109.0,5,2,4.084,1.73,1.562,1502.0,,crit'air niveau 0,arras,4.588637919233402,kit,2
13999,essence,manuelle,gris,berline,société,non,25169.0,5.0,92.0,5,5,3.999,1.743,1.455,1060.0,300.0,crit'air niveau 1,rezé,3.890485968514716,1.0,ig-t
43699,electrique,automatique,blanc,suv,particulier,non,4905.0,9.0,307.0,5,5,4.79,,1.624,1901.0,822.0,crit'air niveau 0,vénissieux,0.7008898015058179,long,range
16380,essence,manuelle,jaune,berline,loueur,non,23160.0,5.0,102.0,5,5,4.055,1.765,1.43,1090.0,352.0,crit'air niveau 1,grenoble,1.1690622861054072,1.2,puretech
9990,essence,manuelle,rouge,berline,loueur,non,32919.0,4.0,83.0,5,5,3.996,1.749,1.474,980.0,300.0,crit'air niveau 1,chambéry,3.8357289527720737,1.2,puretech
